function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_dlclose	c:@F@p101_dlclose	POSIX	libraries/lib_dynamic_linking/src/dynamic_linking.c	libraries/lib_dynamic_linking/include/p101_dynamic_linking/dynamic_linking.h	libraries/lib_posix/src/dlfcn.c	libraries/lib_posix/include/p101_posix/p101_dlfcn.h	yes	yes	yes	dlclose	c:@F@dlclose
p101_dlerror	c:@F@p101_dlerror	POSIX	libraries/lib_dynamic_linking/src/dynamic_linking.c	libraries/lib_dynamic_linking/include/p101_dynamic_linking/dynamic_linking.h	libraries/lib_posix/src/dlfcn.c	libraries/lib_posix/include/p101_posix/p101_dlfcn.h	yes	yes	yes	dlerror	c:@F@dlerror
p101_dlopen	c:@F@p101_dlopen	POSIX	libraries/lib_dynamic_linking/src/dynamic_linking.c	libraries/lib_dynamic_linking/include/p101_dynamic_linking/dynamic_linking.h	libraries/lib_posix/src/dlfcn.c	libraries/lib_posix/include/p101_posix/p101_dlfcn.h	yes	yes	yes	dlopen	c:@F@dlopen
p101_dlsym	c:@F@p101_dlsym	POSIX	libraries/lib_dynamic_linking/src/dynamic_linking.c	libraries/lib_dynamic_linking/include/p101_dynamic_linking/dynamic_linking.h	libraries/lib_posix/src/dlfcn.c	libraries/lib_posix/include/p101_posix/p101_dlfcn.h	yes	yes	yes	dlsym	c:@F@dlsym
